Stany magazynowe towarów: na dzień 2026-09-07, jednostka dodatkowa1	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
065S05/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 BB/CP		szt		247,8833	125,95	31220,51		
065S05/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 BB/CP		szt		0	0,00	0,00		
065S05/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 BB/CP		szt		0	0,00	0,00		
065S06/03 E		Sklejka liściasta wodoodporna 6,5x1220x2440 BB/WG		szt		0	0,00	0,00		
065S06/04 E		Sklejka liściasta wodoodporna 6,5x2440x1220 BB/WG		szt		975,9057	114,53	111768,38		
065S06/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 BB/WG		szt		135,5712	125,11	16961,91		
065S06/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 BB/WG		szt		709,7194	124,10	88075,65		
065S06/11 E		Sklejka liściasta wodoodporna 6,5x1525x3050 BB/WG		szt		0	0,00	0,00		
065S06/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 BB/WG		szt		1588,4602	192,58	305898,89		
065S06/27 E		Sklejka liściasta wodoodporna 6,5x2150x3850 BB/WG		szt		0	0,00	0,00		
065S06/75 E		Sklejka liściasta wodoodporna 6,5x2150x4000 BB/WG		szt		0	0,00	0,00		
065S07/03 E		Sklejka liściasta wodoodporna 6,5x1220x2440 CP/CP		szt		0	0,00	0,00		
065S07/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 CP/CP		szt		0	0,00	0,00		
065S07/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 CP/CP		szt		0	0,00	0,00		
065S07/11 E		Sklejka liściasta wodoodporna 6,5x1525x3050 CP/CP		szt		0	0,00	0,00		
065S07/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 CP/CP		szt		864,9917	143,32	123974,90		
065S09/03 E		Sklejka liściasta wodoodporna 6,5x1220x2440 WG/WG		szt		0	0,00	0,00		
065S09/04 E		Sklejka liściasta wodoodporna 6,5x2440x1220 WG/WG		szt		0	0,00	0,00		
065S09/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 WG/WG		szt		89,9939	100,86	9076,74		
065S09/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 WG/WG		szt		0	0,00	0,07		
065S09/07 E		Sklejka liściasta wodoodporna 6,5x1500x2500 WG/WG		szt		0	0,00	0,00		
