Stany magazynowe towarów: na dzień 2026-09-07	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
065S13/11 F/F s.grey SRT		Sklejka liściasta foliowana 6,5x1525x3050 F/F grey		m2		227,8462	20,19	4599,20		
065S13/11 M/M white		Sklejka liściasta melamina biała 6,5x1525x3050 M/M white		m2		116,3032	40,90	4756,71		
065S13/12 F/F		Sklejka liściasta foliowana 6,5x1500x3000 F/F		m2		684,1155	34,06	23301,59		
065S13/12 F/F grey		Sklejka liściasta foliowana 6,5x1500x3000 F/F szara		m2		0	0,00	0,00		
065S13/12 F/F grey/d.br		Sklejka liściasta foliowana 6,5x1525x3050 F/F grey/d.br		m2		0	0,00	0,00		
065S13/12 F/F l.br		Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz		m2		0	0,00	0,00		
065S13/29 F/F		Sklejka liściasta foliowana 6,5x1250x3050 F/F		m2		0	0,00	0,00		
065S13/57 F/F		Sklejka liściasta foliowana 6,5x2150x3340 F/F		m2		0	0,00	0,00		
065S13/60 F/F		Sklejka liściasta foliowana 6,5x1250x2750mm		m2		23,9991	31,38	753,07		
065S13/62 F/F		Sklejka liściasta foliowana 6,5x2150x3050 F/F ciemny brąz		m2		0	0,00	0,00		
065S14/03 F/W		Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W		m2		0	0,00	0,00		
065S14/03 F/W smooth black		Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W Smooth Mesh czarna		m2		0	0,00	0,00		
065S14/03 F/WH+ black		Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus black		m2		1173,9884	42,12	49450,69		
065S14/03 F/WH+ grey		Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus szara		m2		0	0,00	0,00		
065S14/03 F/WT		Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus		m2		0	0,00	0,00		
065S14/05 F/W		Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W		m2		171,846	44,98	7729,01		
065S14/05 F/W black		Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W czarna		m2		0	0,00	0,00		
